word,depth,g1,s11,s12,s13,s14,s15,g2,s21,s22,s23,s24,s25,g3,s31,s32,s33,s34,s35,g4,s41,s42,s43,s44,s45,g5,s51,s52,s53,s54,s55,g6,s61,s62,s63,s64,s65,g7,s71,s72,s73,s74,s75
SARKY,2,LARKS,0,2,2,2,1,SARKY,2.0,2.0,2.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LAKER,2,LARKS,2,2,1,1,0,LAKER,2.0,2.0,2.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KEREL,2,LARKS,1,0,2,1,0,KEREL,2.0,2.0,2.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LARKY,2,LARKS,2,2,2,2,0,LARKY,2.0,2.0,2.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LIRAS,2,LARKS,2,1,2,0,2,LIRAS,2.0,2.0,2.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RANKE,2,LARKS,0,2,1,2,0,RANKE,2.0,2.0,2.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OKRAS,3,LARKS,0,1,2,1,2,KORAS,1.0,1.0,2.0,2.0,2.0,OKRAS,2.0,2.0,2.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,
KORAS,2,LARKS,0,1,2,1,2,KORAS,2.0,2.0,2.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TALKY,3,LARKS,1,2,0,2,0,TIRES,2.0,0.0,0.0,0.0,0.0,TALKY,2.0,2.0,2.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,
PALKI,3,LARKS,1,2,0,2,0,TIRES,0.0,1.0,0.0,0.0,0.0,PALKI,2.0,2.0,2.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,
BALKY,3,LARKS,1,2,0,2,0,TIRES,0.0,0.0,0.0,0.0,0.0,BALKY,2.0,2.0,2.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,
LAKSA,2,LARKS,2,2,0,1,1,LAKSA,2.0,2.0,2.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CLERK,3,LARKS,1,0,1,1,0,NARES,0.0,0.0,1.0,1.0,0.0,CLERK,2.0,2.0,2.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,
KNURL,3,LARKS,1,0,1,1,0,NARES,1.0,0.0,1.0,0.0,0.0,KNURL,2.0,2.0,2.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,
KRILL,3,LARKS,1,0,1,1,0,NARES,0.0,0.0,1.0,0.0,0.0,KRILL,2.0,2.0,2.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,
SKIRL,2,LARKS,1,0,1,1,1,SKIRL,2.0,2.0,2.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LIRKS,2,LARKS,2,0,2,2,2,LIRKS,2.0,2.0,2.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LURKS,3,LARKS,2,0,2,2,2,LIRKS,2.0,0.0,2.0,2.0,2.0,LURKS,2.0,2.0,2.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,
LARKS,1,LARKS,2,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RISKY,2,LARKS,0,0,1,2,1,RISKY,2.0,2.0,2.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LINKY,3,LARKS,2,0,0,2,0,RONES,0.0,0.0,2.0,0.0,0.0,LINKY,2.0,2.0,2.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,
LOOKY,3,LARKS,2,0,0,2,0,RONES,0.0,2.0,0.0,0.0,0.0,LOOKY,2.0,2.0,2.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,
LUCKY,3,LARKS,2,0,0,2,0,RONES,0.0,0.0,0.0,0.0,0.0,LUCKY,2.0,2.0,2.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,
LAKHS,3,LARKS,2,2,0,1,2,LAKES,2.0,2.0,2.0,0.0,2.0,LAKHS,2.0,2.0,2.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,
LAKES,2,LARKS,2,2,0,1,2,LAKES,2.0,2.0,2.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
