word,depth,g1,s11,s12,s13,s14,s15,g2,s21,s22,s23,s24,s25,g3,s31,s32,s33,s34,s35,g4,s41,s42,s43,s44,s45,g5,s51,s52,s53,s54,s55,g6,s61,s62,s63,s64,s65
EARNT,2,LARNT,0,2,2,2,2,EARNT,2.0,2.0,2.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,
NERAL,2,LARNT,1,1,2,1,0,NERAL,2.0,2.0,2.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,
LUNAR,3,LARNT,2,1,1,1,0,LEARN,2.0,0.0,1.0,1.0,1.0,LUNAR,2.0,2.0,2.0,2.0,2.0,,,,,,,,,,,,,,,,,,
LEARN,2,LARNT,2,1,1,1,0,LEARN,2.0,2.0,2.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,
ARNUT,2,LARNT,0,1,1,1,2,ARNUT,2.0,2.0,2.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,
LUNET,2,LARNT,2,0,0,1,2,LUNET,2.0,2.0,2.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,
RATAL,3,LARNT,1,2,1,0,1,TARES,1.0,2.0,1.0,0.0,0.0,RATAL,2.0,2.0,2.0,2.0,2.0,,,,,,,,,,,,,,,,,,
TALAR,3,LARNT,1,2,1,0,1,TARES,2.0,2.0,1.0,0.0,0.0,TALAR,2.0,2.0,2.0,2.0,2.0,,,,,,,,,,,,,,,,,,
TALER,3,LARNT,1,2,1,0,1,TARES,2.0,2.0,1.0,2.0,0.0,TALER,2.0,2.0,2.0,2.0,2.0,,,,,,,,,,,,,,,,,,
RATEL,3,LARNT,1,2,1,0,1,TARES,1.0,2.0,1.0,2.0,0.0,RATEL,2.0,2.0,2.0,2.0,2.0,,,,,,,,,,,,,,,,,,
TARNS,2,LARNT,0,2,2,2,1,TARNS,2.0,2.0,2.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,
TORAN,2,LARNT,0,1,2,1,1,TORAN,2.0,2.0,2.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,
TYRAN,3,LARNT,0,1,2,1,1,TORAN,2.0,0.0,2.0,2.0,2.0,TYRAN,2.0,2.0,2.0,2.0,2.0,,,,,,,,,,,,,,,,,,
LIROT,2,LARNT,2,0,2,0,2,LIROT,2.0,2.0,2.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,
LEANT,2,LARNT,2,1,0,2,2,LEANT,2.0,2.0,2.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,
TALON,3,LARNT,1,2,0,1,1,NATAL,1.0,2.0,1.0,0.0,1.0,TALON,2.0,2.0,2.0,2.0,2.0,,,,,,,,,,,,,,,,,,
